,confessions,categories
10,"Facebook is launching a Secret Crush feature that lets you add friends as secret crushes and match people if there are mutual secret crushes! If I add everyone I know into my Secret Crushes list, will I get a ????% match rate? ????

https://www.theverge.com/2019/4/30/18522924/facebook-f8-secret-crushes-dating-app-hinge-feature
","Funny, Romance, Advice
SHARE:"
11,"Source: https://www.facebook.com/shermon.ong/posts/10157265790004747

How far should a university’s disciplinary board go in a criminal matter?

I believe many people have read about a current female NUS student’s (let’s call her Ms M) recount of the horrible criminal act that was committed against her when a male student used his handphone to film her while she was showering. It is a horrible experience which, in the words of a very esteemed female professor whom I once heard say during a disciplinary board meeting over a similar peeping case – “It is a horrible experience which makes female students feel utterly unsafe on campus and the trauma is difficult to erase.”

So without a doubt, the act of being filmed in a shower is a very traumatising one and it is hoped that Ms M has received full support in helping her mitigate and hopefully overcome this mental trauma. Such criminal act has no place in a civilised society and no other NUS student, male or female, should be a victim of such acts.

That said, was Ms M justified in calling for NUS to mete out heavier punishment (which currently stands at a semester’s suspension and the perpetrator made to write an apology letter to Ms M) and basically expel the perpetrator? As someone who used to sit on the NUS Board of Discipline (“BOD”) as a NUSSU student rep (albeit back in 2013-2014 before the #metoo era), I think the matter is more nuanced.

1. Proper channel of recourse in criminal matter

If you look at what Ms M recounted, the matter was reported to the police, complete with CCTV evidence etc. Then, after investigations, the perpetrator was given a conditional 12-month warning period in lieu of prosecution. More damningly, Ms M said that the investigation officer told her to look for NUS if she wanted “heavier punishment”.

That’s when I think parties got things wrong.

In the criminal justice system, the Public Prosecutor (also concurrently the Attorney General) is the one, working with the Singapore Police Force (“SPF”), who decides whether to bring charges in a criminal matter, and if yes, what kind of charges to bring. It is not and should not be the province of NUS to bring criminal charges or mete out criminal punishment.

In this case, it is apparent that the good folks at the Attorney General’s Chambers (“AGC”) and SPF have decided not to press charges and instead issue a conditional warning period in lieu of prosecution. Legally speaking, that is and should be the end of the course of seeking criminal justice in this matter, simply because the person vested with prosecution powers (i.e. the Public Prosecutor) has made the decision not to press charges. The investigation officer should not have asked Ms M to ask NUS for “heavier punishment” because the criminal justice has run its course in this matter here. NUS does not have, and should not have, the powers to mete out criminal punishment or bring criminal charges.

2. Jurisdiction of NUS Board of Discipline

This was a question pondered by some of the BODs I sat on – what is the source of NUS’ disciplinary powers? My suggested answer, which didn’t get challenged, is that it arises from the contract signed between the student and NUS. The power to discipline has a contractual source but it may have a quasi-criminal nature due to the nature of disciplinary processes.

During the course of my time on NUS’ BODs, there are many cases where there is an act that has a criminal element. The standard NUS BOD practice, back in 2014, was to wait for the criminal proceedings to end before proceeding with the NUS disciplinary process. Although both proceedings arise from the same facts, they are of a different nature. The criminal proceeding arises from the public’s interest in ensuring that criminal conduct does not go unpunished. NUS’ disciplinary process arises from the university’s interest in ensuring that the rules and spirit of academia are kept in place and that students do not misbehave in the context of the university-student or student-student relationships/context.

To give an example, let’s say a student has been caught stealing outside. The criminal proceedings are for the act of stealing and how it harmed the public’s interest. The NUS disciplinary process is for how the act brought the university into disrepute. Fine but important difference – the NUS disciplinary process is and should never be a substitute for the criminal justice system. It is at best complementary but not a substitute.

3. Proportionality of sanctions

One controversial point raised by Ms M was that the sanctions meted out by the NUS BOD to the perpetrator (a semester’s suspension + write a private apology letter to Ms M the victim) is vastly disproportionate to the act itself. I make no comments on the proportionality of the sanction to the act, except that back in 2013-2014, the types of acts that attract expulsion from NUS usually involve academic dishonesty. Examples include repeated cheating, falsification of experiment results, fraudulent declarations during admission etc. It is not difficult to understand why – the university’s main interest is to maintain the integrity of the academia environment. Academic dishonesty strikes at the root of such integrity and therefore deserves the highest sanction – expulsion. Unfortunately, peeping and filming in showers/toilets did not fall within that category of acts that attract expulsion. Suspension and fine, yes, but not expulsion. At least not back in 2013-2014.

That being said, in the half-decade since, society has gotten more sensitised and enlightened over sexual assault, harassment and crime. I am sure the NUS administration will review the range of sanctions for different acts and update them to be in line with societal norms and expectations.

4. Pressure to keep things under wraps

I posted this earlier on Sheryl's post and I will repeat it here ad verbatim: “Can I just put it on record here that I once sat on a Board of Discipline regarding a peeping case in one of the Residential Colleges back in 2014. For context, the Board of Discipline is convened by the Registrar’s Office so it depends on the case being floated up or complaints made directly to the main university administration. What shocked the particular Board I was on was that the student being charged for peeping in showers was not a first time offender. Apparently the RC senior admin wanted to just give him an RC level disciplinary measure and keep it under wraps at the RC level. When the incident occurred the second time, they couldn’t contain it anymore.”

I think there is a bit of implicit pressure not to let things blow up at different levels of the NUS administration, from the university level (e.g. Registrar’s office) to the faculty or residential college/hall level. Perhaps something that should be considered is that clear and expeditious reporting of such acts should be mandatory and incentivised so that university administrators at all levels will feel no pressure to keep such acts under wraps. It will only be good for the university community at large.

5. Concluding thoughts

This is a horrible act by the perpetrator against a victim who was helpless (she was showering). He should not have done it even if it was allegedly under alcoholic influence (if you are drunk, go pass out on your own bed for the night). I feel for Ms M. After all, my wife, my sister and many other female friends stayed on campus and I shudder to think the trauma they would have felt in a similar situation.

Yet, I do not think NUS BOD is the best channel to address the seemingly disproportionately minor sanctions. The right course of redress is the criminal justice system. I am sure the good folks at AGC and SPF have their reasons, and I will leave it at that. Ms M may be better served by appealing through the usual political redress channels to have AGC and SPF revisit the case. Forcing NUS to serve criminal sanctions is a bad precedent that we should be hesitant to allow.
","Advice
SHARE:"
12,"I'm so ugly and fat that I would be so honored if someone was interested in watching me shower. ????

Getting watched while showering and then gaining internet popularity seems like a good deal to me! I would appreciate. ????
","Rant, Advice
SHARE:"
13,"Happy Birthday to NUSWhispers! 4 years and counting!
","Nostalgia
SHARE:"
14,"Why are all the NUS service related websites so trash??? CORS was a hot mess that's why its being phased out. LUMINUS collapsed in week 1 and has such horrible UI. IVLE is decent but remember, it used to be A LOT better.

The only decent official service nowadays is maybe nusbusiness.com. Clean UI, no lag, good and simple service. I'm actually surprised a lot of people don't seem to have heard of it at all! 

Honestly though, its embarassing how lousy our student service websites are. I wish NUS would step up their game especially since we are supposed to be a ""Smart Nation"". If NUS can't do it then what hope is there for the rest of SG?
","Rant
SHARE:"
15,"Dear Prof Ben, actually I have emailed you and PM you in facebook but I don't know which platform you active the most.
I am a year 1 chemical engineering student and I would like to hear an advice or even a solution from you. I intend to take a Second Major in Computer Science programme. Thus, I have to complete 48 MCs to get the title. So, initially, I would like to take CS1010S in AY18/19 (this academic year) sem 1, I have placed an advanced bid in round 1C. However, my advanced bid suddenly gone in round 2A and I never get a chance to bid again. I thought that the quota is already full. But after the bidding stats are released, there are still about 15 vacancies, making me questioning the reasons why I could not place a bid. In this semester, I would like to try bid for CS1010S. However, this time is even worse, there is no CS1010S option for me at all. There are only CS1010 and CS1010E as options of the equivalent which both modules' sectional teaching clash with my core mods lectures. Leaving me with either CS1010S or CS1010X as an option. For me, it is impossible to catch up for the second major if I take the CS1010 equivalent in semester 3. I have already emailed Dr. Leong Wai Kay as the module coordinator and he suggested me to contact the CS undergrad department. After I emailed the department, they said CS1010S' quota are limited and so on so they could not offer me the modules. Therefore, I would like to find advice and answers from you. First, for CS1010X, I know it's for NS students, but if in my urgent condition, how can I register myself as a CS1010X student? Also, should I take a risk to wait for CS1010S until round 3B and appeal via CORS whether if there's still any vacancies (which they may or may not offer me the module even if there are still vacancies). I am looking forward for your advice and answer because I am in really urgent condition.
","Advice
SHARE:"
16,"To #54896. Just like you, I have attempted suicide twice in my life. One year after another. After the first suicide, I felt like things never change and I just suck and therefore leading to my second suicide. As naive as it may sound, my suicide was due to friendship issues, some family issues and academic issues. I seriously felt like I never meant to be alive in the first place. Like I was born to be tortured emotionally and mentally. So I should just leave the world so that the world will be happier without me. And that's MY thoughts, all my thoughts when I attempted suicide. 

But I was wrong, my friends who love me aren't gonna be happy without me, my family is not a complete family without me, my school tutorial would be a little different without my presence. But i never knew that, until people told me about it.

Human nature tends to be more outspoken with criticism but not the praises and therefore we always feel like the world hates us. But after my second suicide, one teacher came to me and told me she believes in me and my ability. It was my first time hearing that sentence from a teacher when the rest of the teachers were just trying to find fault in me. One friend also came to me to tell me she would help me with my studies.. to be honest, I felt like I have heard these before, but because of my negative mentality, i chose to listen to the negative aspects if everything I hear, even if they meant well. 

Well, it has been 12 years since I last attempted suicide. Sometimes the thoughts still appears when I gets really upset or stressful but I realised it is my CHOICE to listen and do what's helpful for me and not by NATURE that I am always unlucky. Currently I'm happily employed working full time in an amazing environment. Because I know how it feels to not get praises when needed, I turn this into my habit to always praise people when needed, be nice when i give feedback and ensuring everyone's mental emotions are well taken care of. Because i know how it feels and i wouldn't want them to go through what i did, so i came back as the stronger one, to advocate for healthy mental wellness for everyone around me :) 

Do take a break, do some mediation and enjoy some along time before you start your engine again. Clear you negative thoughts and you'll be fine :) 
","Advice
SHARE:"
17,"This post is intended to provide a balanced view with  regards to NUSSU Internal Council Election yesterday.

*Disclaimer: I was there as an observer and asked a number of questions to both Presidential Candidates. I am not associated with any clubs, any parties or whatsoever. The views and opinions expressed below shall reflect mine and mine only.

I am a Y4 student who have never once interested in NUSSU's affairs. To be honest, I am just a typical apathetic NUS student who mind my own business throughout my 4 years in NUS. However, something drew my attention during this NUSSU election. It was none other than the manifesto put forward by the concerned students' (CNS) team. I was strongly motivated by their their agenda which captured the ideals and values that I religiously believe in. Hence, I exercised my right to vote for the first time and voted for them. Although I personally  know the 2 candidates  (belonging to the so-called ""Insider Team"") that are representing my constituency since both of them are from my major, I still voted for the CNS
representative. I really had full faith in CNS. 

However, I also came to realise that I have yet to hear much from the other team and understand their side of the story. Besides that, I also wanted to see the candidates physically, especially the Presidential Candidates, and assess how dedicated and committed they are to their campaign promises. I thus decided to attend the meeting yesterday. I honestly did expect a fair bit of commotions and drama,  especially given that it has been such a contentious and controversial election campaign. In fact, I was also interested to know how each candidate would respond to questions on the importance of having an united NUSSU exco regardless of parties (I did raise a qn on this to both candidates) as I am of a view that  now is the time to put aside the differences and work together as one. 

CNS Presidental Candidate was the first to present which followed by a Q and A session.  I found him eloquent, idealisitc, determined and knowledgeable throughout the entire process. I was pretty impressed. I felt that he does deserve to be the President of NUSSU. 

Next was the Presidential Candidate from the so-called ""Insider Team"". He did a pretty simple presentation mainly emphasising on his motivations to run for the post and his past experiences, which then followed by a Q and A session. I found him frank, understanding, sincere and pragmatic. To be honest, he did not impress me as much as CNS Presidential Candidate especially in terms of presentation. However, he did one thing that took my breath away. His frank and humble  admission to the council that he is neither a visionary nor a strong communicator. To me, the fact that he is willing to lower himself and tell everyone that he is an imperfect being like everyone else instead of portraying himself as a perfect leader who is above everyone else is a good indication that he is not an elitist and that he truly believes in the philosophy of servant leadership. Moreover, I was really blown away by his track record in advocating for the welfare of disabled students as he could easily recall their names and explained with concrete examples what he proposed to the NUS management in his capacity as depty welfare sec for them. Only then, I realised how sincere and genuine this guy is unlike how some people have tried to portray him online. It then hit me that I should not have judged him based on a 3rd party's opinions (especially if the defamations made are anonymous).

Although I dont wish to end this post on a negative note, I would like to highlight that I was totally appalled by the conduct of some of the CNS candidates and their allies during the Q and A session for the ""Insider Team"" Presidential Candidate as they were not only harping on his marginal win as a candidate representing his constituency but also getting emotional and raising voices towards the candidate. These kind of disrespectful acts are uncalled for in a civilised setting. Please refrain from such acts during the second session later today. Do remember that getting emtional does not solve any problems and issues. I am extremely disappointed to see such behaviors in people that I have voted in with full faith. 

By the way, please stop playing
politics guys. No one is going to benefit from it in the long run. Do grow up please. 

With best intentions, 
Zay 
","Advice
SHARE:"
18,"Recently, I was very inspired by the mental health awareness campaign Beyond  The Label launched this month by NCSS. I knew some of the ambassadors of this movement because they came out with their mental health struggles openly, even with the stigma surrounding them. 

I like to share my challenges here, and hopefully encourage people to share theirs. The best way to get rid of prejudice is by listening,  understanding and empathising. I don't know who would care about what I have to say - but I know that it has always made me feel better when I read similar struggles by others and I know I'm not alone. 

I am not clinically diagnosed with any sort of mental disorder, but I am a generally anxious person who gets worried way, way, WAY too easily. Just because there's no official diagnosis from the doctor doesn't mean the symptoms is less severe/paralysing.

I can ruminate on the same things for hours on end each day - just trying to connect all the possible causes, reasons, factors why the things that happened to me happened, and what the bigger problems are that lie ahead of me. 

I contemplate suicide on a weekly basis, I google ""I want to die"" more times than I can remember. I have almost concrete plans on how I want to leave - including plucking up the courage to write goodbye notes to my loved ones. Never completed them though - it felt too painful to write on.

When I tell people I think I'm not gonna live past a certain number of years, I see skepticism in their eyes. I know they don't believe me when I say I want to die. I wish i could choose not to believe in myself too.  

Last month has been my worst struggle with this anxious/depressed mood. A slew of unfortunate things hit me in unexpected and continuous waves. I was swept by the harsh currents of life's maelstrom and I am still slowly piecing myself back together from the utter wreckage that is my current existence. Sometimes the half-built puzzle threatens to crumble entirely. 

My health is irretrievably in shambles, the one I trusted most has left me at my most vulnerable state, I'm struggling to keep up in school, my family is distant and aloof. 

Everyday feels like a struggle to wake yourself up. Sometimes I hope to sleep much longer because reality is so painful to confront.

But I'm still here. 

And that's the most important thing guess? Sometimes I have to remind myself how strong I am because despite all of that which has smacked me, I am still here. I'm still breathing, existing, trying even I'm failing to succeed. 

Amidst the pleas of ""please kill yourself"" roaring through my head, I hear a tiny whisper, barely audible but  unmistakable - 

""Keep holding on."" I hope you hold on too. 
","Advice
SHARE:"
19,"With the release of the NUSSU exco rep elections results, the bitter campaign season has drawn to a close, at least for those of us plebians not on a management committee. Those who are, however, are likely to see even more drama in Saturday's council meeting. However, here's a quick highlights of interesting points in the vote results.

-Arts Club showed an outsized turnout of 455 valid votes cast, the largest among the faculty clubs. Even accounting for FASS being the largest faculty, the percentage is still higher than almost all other clubs, reflecting a more politically engaged student body.

-Clubs which were not contested at all, such as Business and Science, showed a correspondingly depressed turnout.

-The insider team's presidential candidate came within 14 votes of losing his seat in Computing Club, despite it being an uncontested race, and was the poorest-performing candidate to be elected. Another sign of the massive drama surrounding this election, as he was previously elected president of Computing Club 2 years previous.

-SDE had the challenger team's single losing candidate, losing by a wide margin to the insiders' two candidates.

-Engineering Club had the most exciting race of all, with candidates on both sides being popular among the student body and the challenger team's presidential candidate running there. It came down to an extremely narrow victory for the challenger team, with 6 votes separating their less popular candidate from the insider's more popular candidate. Percentage turnout for the vote, however, was below the average for contested faculty clubs.

-University Scholars Club (the faculty club for USP) had both the highest turnout by far (305 valid votes out of a total population of ~800) and the highest approval rating for the challenger team's (uncontested) candidate, at 98.7%. As USP students can vote both here and in their respective faculties, this offers some insight into how critical USP and Tembusu support was for the challenger team, in particular for RC-Engin students who most likely decided the ~20 vote winning margins in Engin club.

-For the non-faculty clubs, the real shocker was in NUSPA, an uncontested race with one challenger and one insider candidate. The insider candidate failed the vote of confidence by 15 votes, in an election limited to Singapore Citizens, depriving them of a critical exco rep seat.

As it stands, the challenger team has lost by a hair's breadth, with 9 candidates elected to the insiders' 11. The next round of elections for NUSSU positions will be internal, limited to those elected here and representatives from the constituent clubs.
","No Category
SHARE:"
20,"Saw this online
","No Category
SHARE:"
21,"Hello! We are the NUS Students’ Unusually Casual Critique Board (also known as NUSSUCCB). We are back again after being dormant for 2 years. Our only previous post so far is #24503.

We have been aroused from our slumber by a challenger team in the NUSSU (no affiliation to NUSSUCCB) elections, specifically their manifesto where they mentioned ""the huge growth in NUS undergraduate tuition fees across the past decade from 2007 to 2016"". We decided to do some digging and data crunching on our part on the growth in tuition fees for the various courses since AY07/08. We also did a comparison with the Consumer Price Index (depicted in the bright red line near the bottom).

Our conclusion - growth in net undergraduate tuition fees payable (after deducting MOE Tuition Grant) has generally outstripped inflation as represented by CPI. Perhaps the challenger team may be onto something after all...

Alright, back to our slumber.
","Nostalgia, Advice
SHARE:"
22,"What do pharmacy students work as when they graduate other than becoming a pharmacist? I find it quite weird that they work so hard for 4 years to get their degree and only come out to work at like hospital pharmacies behind the counter and just listening to the prescriptions from doctors? This may seem like quite a dumb question but I really wanna know what they do. 

Prior to getting to uni i had assumed that pharmacy was kind of a dead course with not-so-high entry results until i realised that you need 4 As to get in. And now that i'm in nus these pharm students are spoiling the bell curve in all the electives I've taken and sometimes even my major modules (I know of 2 pharm students in my major module last semester that had way above average results for CA).

TLDR: pharm students are smart in general but I have no idea what they do under than dispense meds and do they really need a degree for that?
","Rant
SHARE:"
23,"Most of you probably will never see this: a letter of academic dismissal from NUS. 

Most of you probably will never see this: a 1.46 CAP after 4 semesters and 80MCs. 

I eventually graduated with a CAP of 3.19. Nothing to brag about certainly, rather, I hope this post can serve as an encouragement to those who are currently struggling with their CAP and can’t find or see any hope in their situations. Here are a few pointers. 

1. You are not alone! I had attended several help group sessions while in NUS and was stunned to find so many peers who were struggling and had similar CAP as me. There are people going through the same struggle and understand your dilemma, therefore take heart, you are not alone! 

2. Reach out! When you have such an “unglam” CAP, first reaction would be to hole up in your room and keep it a secret. I did that at the start. I didn’t dare to approach my mentor/professors for help because I was afraid that they might “look down” on me and they would know that I am THE “unicorn” in the cohort. Truth is: they deal with such cases more often than you think. It’s common for students to lose their footings in uni as the transition from Poly/JC is so drastic. Again, refer to my first point.  

3. Form a mugging clique! Now this might be tricky, but nonetheless worth a try. Find a group of peers who needs/wants to mug as hard as you. For example, my trick is to always sit in the front row during tutorials and raise questions when I’m in doubt, people from that class will recognise the presence of the “stay hungry, stay foolish” type of person in their mix. Fellow muggers will come to you like moth attracted to fire and you build up friendships from there. 

4. Your CAP matters! (no matter how low it is) I always see people asking questions like: What can I do with a third class? The answer is: plenty. For example, I secured my current job 3 month before the end of my final sem, and that’s after receiving 4 offers in total. My job is not too shabby either; a few hundred bucks above the median pay for my course in an MNC with good benefits. Contrary to popular belief, many employers nowadays don’t use the CVs of low cappers for Origami. They’ll review your results from Y1S1 to Y4S2.If you show marked improvements as the semesters progress, I’d say you stand a good chance. (the exception here is the civil sector, but I wouldn’t say it’s impossible. I eventually did get an interview opportunity with a stat board after a long wait but declined as I’ve already accepted the offer from my current company).  The aim here is not to achieve a certain degree class, but to see continuous improvement to your CAP after each semester. 

So there you have it. There’s hope, there’s opportunity and there’s redemption. 

Now go! 
","Advice
SHARE:"
