,confessions,categories
10,"Another decade is over. I feel nostalgic about very first New Year Eve I spent in Singapore two decades ago at Suntec City. Two years later, I spent eve with my then-beloved at newly finished Esplande.  I noted her getting academics accolades a few days ago and I'm really proud of it.
","Nostalgia
SHARE:"
11,"若是你快乐，我不打扰，其实，不打扰，不联系，不代表忘记，想你的时候，看看天空，努力不让泪水滑落
不管多么想你，都不会再打扰你了。
一切都会过去的，即便我忘不了你，只能学会转身。
我知道如果，一转身就是一辈子，我会在和你不远不近的地方看着你，只要看到你好好的，此生足矣!

也许这就是我们的爱情吧

To #738376, know that you are not alone. If you think she is deserving of your love, keep trying and never give up. If your intentions are pure, you will eventually be reciprocated or find someone worthy of your love.
","Nostalgia
SHARE:"
12,"As I was on my way home today, I was suddenly reminded of a failed relationship that happened years ago. 

I was young at 18 and I met him. We were so attracted to each other almost instantly. MSN was a thing that time, and we could chat for hours literally every single day. He asked me to be his girlfriend on Christmas Day and I said yes. This was despite knowing that he will be leaving the country in a year; he will be moving overseas and I am most definitely not. There were ups and downs throughout the relationship; it was not a healthy one. We were too young to know how to handle conflicts, and too immature to understand commitment. Among the things we talked about, we said that we would marry each other. At that time, it felt like he was ‘the one’, and he felt the same way too. Time wasn’t the kindest, we grew apart along with the physical distance. In the second year of the LDR, he told me one night that he was falling for someone else.. As immature as I was, I screamed. I was livid. I was heartbroken. Nothing could be done to rewind that moment, or mend that was already broken. I did all that stupid things: hung up on him then tried calling back, only to have my calls rejected; spammed him with lots of messages and received no replies; go from “f u” to a miserable apology... He blocked me eventually and through those days of silence, it was a chance to thoroughly examine myself. I learnt that there is no right or wrong in a breakup; relationship is a dance which takes two to tango. Anyone has the right to leave. He gave me a closure eventually, which I’m grateful for. He returned, we talked, and parted ways “officially”. As I re-look at an old diary, I’m surprised that today is exactly the 6th year since we parted. Perhaps this explains that weird feeling that I get today. 

To the brokenhearted, the rebuilding phase may be long and trying. It took me a full year before I was actually happy again. Do what you need to do, and I hope that you will find the way and the will to move onwards. Happy holidays.
","Nostalgia
SHARE:"
13,"It's 2 a.m. and I can't fall asleep. It's been around 3 months since we stopped talking. Everyday I ask myself why things had to turn out this way, and what could I have done differently. But there's no redo.

It pains me even today because even today, against the advices of my close friends I'm still holding on to the memories and feelings. I'm choosing to hold them tight and alive even today because I just know that if I were to stop doing so, then none those moments that were shared, feelings that still burns would mean anything.

The past is not some worthless thing that is supposed to be trashed. It is a part of me. It is a part of our history. I'm somehow supposed to move on, that we're all suppose to move on when something didn't go right. Yet, precisely because time is a commodity, that every single moment in our life is so precious and worth preserving. And everyone that walked into our lives matter, especially, especially those that made your heart flutter because they are the ones that made you feel most alive.

Struggling a little more everyday.
","Romance, Rant, Nostalgia, Advice
SHARE:"
14,"John Elliott, former psychology professor in NUS has passed. Although I personally only had limited interactions with Prof Elliott, I felt that he was a kind and caring man. Rest in peace :(
","Nostalgia
SHARE:"
15,"I am someone in Singapore.

I was two-timed by an ex with cancer after I accompanied her through the treatment stage. 
Years later, I bore her outstanding study loan cos I was her guarantor.
After paying that loan off, I was chased by the same bank for her credit card bills she forged my signature to be her supp card owner for and supp card owners are liable for the amounts the main card holder owe.
As unwilling as I was, I just went took responsibility for what came.
Recently, I was hospitalised for an heart attack and am awaiting my bypass surgery with a 3% risk of death. 
I share these not for sympathy. Life isn’t about comparing whose life is shittier. I am just sharing that my life isn’t a bed of roses. I am not necessarily living a better life than you but I will be fine. 

I have always received messages from many whose lives aren’t beds of roses all along. There are many who shared that they can get more for their family with their limited Budget. It may sound unexpected but I have always read how some who are bedridden look at our posts to get connected to the world out there. Especially after I shared my condition, many silent friends got in touch with me to share their own experiences. Some have lost their loved ones. Some are suffering from some physical or mental conditions. 

Everyone has their own stories to live. Every story is unique. Many times, we are given challenges we need to face because those are tests to prepare us for greater things. Again, I am living my life story too. I totally understand how life gets shitty at times, how dark the outlook can be, how we don’t see light at the end of the tunnel at times.

This is written to every single friend who feels life hasn’t been the best to them. Hey, fight on. You are never alone. Someone in Singapore is fighting all his shitty situations too. Life is unfair in the fairest way. Your story will be a good one ultimately.

Let’s enjoy our lives together.
","Nostalgia, Advice
SHARE:"
16,"Read the French lady having chicken rice in Singapore with great humour.

I, for one, am a Singaporean living in France. Few weekends back I finally had a legitimate chicken rice together with some Singaporean friends at the onset of winter, in a Parisian bistro.

The chicken was originated in France. Had to follow French AOC rules. Didn't bother asking, was written in the menu.

I think the chicken rice cost 11 euros. I forgot, the price was written, in a font size that is smaller than where the chicken was originated.

To me, the enjoyment of finally having a home-cooked food was immense, and the company of similar-minded Singaporeans far away from home - I could only say I am grateful.

Now back to the daily grind and the metro strikes.
","Nostalgia
SHARE:"
17,"I am amongst the first batch of students who moved in Residential College 4 after it was built in 2012 (I have now graduated). However, for me, RC4 will always be known as Khaya Residential College, its initial name, and CAPT will always be known as Angsana Residential College, also its initial name. 

I understand Angsana's name change to College of Alice and Peter Tan, but why did NUS chose to change Khaya RC's name to RC4 ? I mean just like Cinnamon, Angsana, and Tembusu, Khaya tree is beautiful and can be found around Singapore, but RC4 is just a dull name without any poetry or imagination in my opinion lor.
","Rant, Nostalgia
SHARE:"
18,"There are many people talking about how they don't have close friends in life, about how hard it is to make friends in uni. Many people have said that it is part of adult life that friends come and go and they just have to get used to it. I disagree. 

My grandmother passed away recently, and at her wake many of her friends whom she knew for decades came forward and shared how they were thankful for all that my grandmother did for them. They recounted how she went to care for them after they had surgery, how she said encouraging words to them at their lowest point when people were criticising them, and how much they would miss the joy she brought to others. My grandmother is my role model in what it means to love my friends. 

So when a friend in school told me she changed friends whenever she entered a new phase of life because it's part of ""adulting"", I was alarmed, because I feel that is degrading the precious value of friendship. Nowadays a girl and a guy can meet in uni and then when one of them confesses after less than a month the other says, ""Sigh, you mean alot to me, and I really wanted to keep this friendship."" In my mind I'm thinking, what friendship? They barely know each other...? 

Friendship goes beyond companionship, it is a tried and tested bond that stands the tests of time and circumstance. I myself am lucky to have close friends that I have known for over 10 years. I know they will be in my life for a long time because my friendship with them is not seasonal. Sometimes I really hate my friends for the things they do or the hurt they cause me. But I realised that friendship works like this: I like my friends for some of their characteristics, but I love them despite some of their characteristics. They are in my life because both sides invest in the friendship, and continuously care, love and forgive. 

So to all those out there who feel empty because they don't have a friend that stays, don't let others tell you that it's reality. To experience friendship that lasts a lifetime is possible and beautiful. Keep trying because from my grandmother's life I know it is possible :)
","Rant, Nostalgia
SHARE:"
19,"It takes me a long time to grow up. Maybe more than 30 years. Sometime I still laugh at my naive thoughts in my 20s. When I were a student, I believe everything is possible. Until reality hits me real hard. It took me quite a while. But I still decided to throw away the reality, and continue my fantasy.
","Nostalgia
SHARE:"
20,"Sorry for this long paragraph, but I need some tips, advices and whatever else people can give or comment. Here it goes..

Slowly and steadily, people starts to move on, and gradually stops talking to you. When you are still friends with the clique, you are always the only one asking them out, or they would just casually say we should have an outing, but it always didn't happen. 

You didn't know what happened, and after 1 year, seeing everyone else having fun with their friends, you find yourself having no friends at all, and being all alone. From what used to be people celebrating your birthday, to a point in time where no one wishes you anymore. 

From being with a group of friends with joy, to seeing them enjoying themselves without you. You realised you are a toxic friend, and slowly things have turned out this way, yet you are unsure of what to do. You search online, only to see pages of information, saying to avoid toxic people, but no information of helping a toxic person to change themselves for the better.

Thus I would like to have some opinions, how can I change myself for the better, so that I would not be a toxic person anymore, and be able to make friends with people again, and falling in love with someone?
","Nostalgia, Advice
SHARE:"
21,"After 6 weeks of hard work, 100 hours of coding, 3 rounds of usability testing, my friend and I are very proud to launch our webapp analyzing 44,438 confessions on NUSWhispers over the past 5 years: nuswhispersapp.appspot.com

Do have a read and let us know what you think! :)
","Funny, Romance, Rant, Nostalgia, Advice, Ask Prof Ben
SHARE:"
22,"Been with my bf for 3.5 years and topics are getting lesser? Nowadays seldom meet up, or even text at night when both are free after work. He will be playing games/scrolling Facebook/watching videos, doesn't initiate chat anymore. And when I initiate, he will say he watching video or doing some other stuff. Just doesn't seem interested anymore. Kept thinking about our first year where things were so different, just felt kinda sad? He still tell me he love me but somehow that wasn't enough anymore coz I can't feel it? Haven't married like that, married already how? We have been talking about getting a bto but this honestly scares me a little

And I know some people will say communication is key I should talk to him about it but certain stuff such as the daily small talks with each other, you would want your bf/gf to want to do it right? Rather than talk about it and only then he does it
","Romance, Nostalgia, Advice
SHARE:"
23,"Watch out for that Top fan notification on the iPhone. That shit pops up, your girlfriend sees NUSWhispers being the most used app, then your girlfriend asks for the posts you commented on. My cheeks clamped more shut than one of our presentation Q&A clenchers.

""Oh, I just lurk, honey."" Phew.

If you're single enjoy this time in your life.
","Rant, Nostalgia, Advice
SHARE:"
24,"After breaking up recently due to getting cheated on, I reconnected with an old crush. Looking back, I wasn't ready to had a relationship back then. However now I'm ready. Thank god everything turned out well in the end.
","Romance, Nostalgia
SHARE:"
25,"This marks the end of my final semester in NUS. I'm feeling a little melancholy because this has been an amazing journey of self discovery and intellectual development, and I'm a little unwilling to leave. I wholeheartedly love my major, and I really want to thank the following professors for your passion, your wit and your wisdom, and for being such an inspiration. Professors Volker Schmidt, Ivan Kwek, George Radics, William Bane, Patrick Smith and Joshua Kurz, you're my absolute favourite profs and to all FASS students out there, y'all should seriously take their classes!!
","Nostalgia
SHARE:"
26,"My ex-gf was my best friend who supported me through some of my toughest times in her NS. I even developed an interest,however slight towards watching Kdrama. I broke up with her when she went out with her guy friend. Tbh it's sad. We could have been such a great couple. She was so smart and ambitious. Sadly it was not meant to be. Even till today i sometimes question myself what did I do wrong. Her best friend n her made a great team. Luckily I alrdy found someone else. Thanks for the memories. I still and will probably love you forever.. till today in my cabinet I still have the care package I prepared for you from 11 Nov. It's been an honor to learn about relationships from you
","Romance, Nostalgia
SHARE:"
27,"GUYS I have a serious question. Would you be intimidated by a girl who’s really pretty and not ask her out? I have a friends who’s so pretty. She’s really shy also. But really pretty and nice. But no one has ever asked her out. Every time she tells someone that they’re SHOOKETH. So can y’all tell me what’s the problem?
","Romance, Rant, Nostalgia, Advice
SHARE:"
28,"People say your PSLE score doesn’t matter. Cos after when you are grown up, nobody will ask about it, and it doesn’t define you.

Now I am grown up, I can tell you; it’s true! Nobody asked about my score, and nobody gave a damn how high or low it was.

Nobody.... but me. Even after all these years, I still wished I have done better. ???? psle score, you will be forever etched in my heart!
","Nostalgia
SHARE:"
29,"Can I just say that I think Hwang’s is hands down the best Korean food for its price in SG. One of the things I miss about NUS
","Nostalgia
SHARE:"
30,"I'm honestly quite conflicted about the whole non-NUS people frequenting this page. On one hand they srsly rude and talk shit about NUS students then when kena flame, just fill the comments with their echo-chamber with self-praise about how without them, this page is boring. But on the other hand, their comments and english also sibei funny , remind me of my ah lian secondary school gf who ended up pregnant in poly which makes me nostalgic. sigh tough times
","Nostalgia
SHARE:"
31,"Communication and lack of trust on my part during  NS was a few of reasons why we ended up the way it did. Although I have moved on, just like I have learnt many lessons from our time together, I hope that you too learnt something valuable :'). Atb to you my ex best friend. We may not cross paths again but I wish nothing but the best for you. Thanks for the memories
","Romance, Nostalgia
SHARE:"
32,"10 hours to finals and here I am reading Plato's Apology of Socrates, where he talks about some of Socrates' takes on life. I'm not sure if you know this, but as profound of a thinker as he was, Socrates was a little obscene with his language. I'm guiding my finger over each page, waiting for God to catatonically stop it over a particular phrase that I should be paying attention to. My finger grazes back and forth through a certain page like I'm reading braille when a passage jumps out at me.

Γαμώτο σου. Πιέστε καλύτερα τέσσερις πέντε έξι επτά οκτώ οκτώ κάτω από το λαιμό σας. Δεν υπάρχουν τέσσερις διαφάνειες ανά σελίδα αλλά μία.

I know nothing about ancient Greek, but with the aid of a translator on Google, I received my testaments.

Screw you nerdhead. You better shove lectures four five six seven eight down your throat. Not four slides per page but one.

Coarsely put, Socrates. Even in 450 BC, this mofo knew what was up.

My past revisions meant shit. Im screwed. From 11 PM, the start of lecture four, all the way until 3 AM, when the slide of the final lecture concludes, my ass will be clamped shut, sitting in the middle of my living room in the lotus position. My mom will be ignored. My dad will be ignored. My bodily functions will be ignored. I'm not giving a hoot until I finish eating. 

Saddle those testicles, boys.
","Funny, Rant, Nostalgia
SHARE:"
33,"OP of #72671 here, my girlfriend's the one with depression and anxiety.

So she decided to break up with me, despite me fighting hard to keep the RS going.
I'm still slowly trying to come to terms with this, and just need a space to let it out I guess.

My heart hurts. I loved you with everything, and tried to make life happier for you. I always told myself that I had to make you smile no matter what, when you were having one of those depresso moments. And i did. It always made me smile too.

I know you find it hard to deal with the fact that life together in the future is highly unlikely due to your condition, and also the more pressing factor of our families being of different religious backgrounds/race.

But I still love you, and you still love me. It hurts me to see that you've given up when I'm still fighting. But then again, I'm happy when you're happy. And I can understand why it might be easier for you to give up. It pains me to know that i can't be the person to comfort you whenever you feel down. It hurts me to know that we can't ever share the happiest experiences together again.

I cry whenever I see our photos together, when you and me were laughing and smiling. Why does life have to be so hard on interfaith/racial relationships when it comes to family? The depression just stacks on.

I can't find it in myself to give up on you. I don't know how to give up on you. I know you're still undecided on whether or not we could get back together as a couple because we still love each other, but you feel it's easier for you to break it off for now.
You cry whenever you see me cry, so I try to hide the sadness.

Still trying to find a way to get past this pain
","Romance, Rant, Nostalgia, Advice
SHARE:"
34,"Hi everyone, not a confession, but I just wanted to lighten up the posts on this page, so here's Part 1 in a series of posts to guide you guys through exam period.
(Yes, this is a fictional story)


#1:
Today my first class is at Science. I like it when my classes are at Science. It has the nicest study areas, good food, but best of all is the walk from the MRT to FoS. There's something about this stroll that helps me gather my thoughts before my lessons.

As a Freshman who doesn't stay on campus, my days are mostly travelling to school, and going home. Sometimes if I'm lucky, I'll have a few friends to travel the journey home with. As I walk pass the NUH sign, I notice a group of Med students who don the NUS logo on their attire. The group consists of 1 boy and 2 girls, and they're laughing over something that I can't make out. Seeing them so cheerful and at ease around friends gives me a slight tinge of regret for not staying in a hall or RC, and now I have no one to spend my days with. The only thing giving me the strength to go to school each day is in the hopes that today I'll meet someone to share my moments with. Someone who can take me out of this constant drag each day and make my school days filled with joy and anticipation.

""Oof!"" Lost in my daze, I bumped right into a girl, causing her to drop her notes she was carrying.

""So sorry,"" I quickly helped her to pick up some of the stuff on the floor. As I passed the stack of notes back to her, I realised some of the notes were for GER.

""You taking GER too?""

""Yeah, the exam's this week huh."" Her voice was soft and gentle. As I looked into her eyes, my heart gave a quick leap. I don't have high standards, but gosh she sure was pretty. I tried not to stare at the way her brown hair fell just at her shoulders, highlighting her collarbones which were just visible over the black ""NUS"" shirt that she was wearing.

""Uh.. yeah, here's your stuff."" I quickly looked away and smiled, hopefully not creeping her out.

""Thanks so much!"" She walked off before I could think of anything else.

I tried not to look too affected as I continued walking to class.


Disclaimer: Other than the places mentioned, this story is the work of fiction.

Hope that this was a good read! Do let me know in the comments if you want to see a Part 2, or more of these type of work. I hope that I can bring a refreshing tone to this page.

~ C
","Nostalgia
SHARE:"
35,"Anyone feels that they are left with very few once you have graduated? Lost touch with many friends over the years. 

I know it's better to have a few close friends than many hi-bye friends. But sometimes, I wish I have more friends.

Any suggestions on where/how to make new friends?
","Nostalgia, Advice
SHARE:"
36,"Since young, I have always been socially-deemed as unattractive. People always bullied me because I was damn ugly and fat. Also, my love life was literally non-existent, all the girls that I liked never liked me back. Mind you, I was really trying my hardest to get a gf, but to no avail. Due to my image, I had zero self-esteem. I was very depressed and sad most of the time, and I just felt very empty and I just wanted to feel something. 

After army, I got into NUS Biz. I didn't get the chance to apply for FOPs so I had little to no friends in school. I tried signing up for Aphrodite lately but after getting both matches, they immediately ghosted me after seeing my profile picture, why do people always judge me by my looks first...

Last year, however, I met the girl of my dreams. I went for NUS Bizad Charity Run 2019 alone last year. I wanted to motivate myself to be healthier and also hope the I could meet some new people. During the run, I accidentally tripped and fell at the basketball court area. Even though it wasn't that serious, I was pretty shagged out from the run and laid there for a while. Suddenly, this really chio girl who was in the middle of running stopped and approached me, asking if I was okay. I was super shocked because I never thought someone like her would approach me.

She helped me up and kept asking if I was ok. I told her I was fine and that I could continue running and wanted to finish it. She then offered to run the rest of the route together and wahhh I was literally damn happy but tried to look calm. She was wearing a pair of light pink Nike shoes with the blue shirt. And not to be creepy or anything, but she smelt really good too. She was chatty and bubbly throughout the run, and we talked about life in NUS. She was also from Biz. Sadly, the run ended and she really made 5 km seem like 1 km. Even though we talked for a bit, my dumbass couldn't bring myself to ask for her name, and she didn't ask me for mine either. I have never been able to get her out of my head ever since, I really wish I can see her again. 

 I hope that I will be able to find her through NUSWhispers and that she will be reading this. To that girl: I really hope that that you have signed up again for the upcoming BCR 2020. If you haven't I hope you will do it in hopes of being able to run together again. I will definitely be on the lookout for those light pink nike shoes at the starting line at 5pm outside MRB :')
","Romance, Rant, Nostalgia, Advice
SHARE:"
37,"I enjoy looking at my transcript. I don't have good grades but it's just kinda nice to look back at what modules you've taken and how you have overcome it haha. Isn't it interesting to see the route you've taken?
","Funny, Nostalgia
SHARE:"
38,"Sometimes I get so lonely I want to literally pay someone to talk to. Like renting their time, giving 'sugar' etc.

Then people will just say why not speak to a counselor or psychologist.

But I want to speak to real genuine people. Ok I would rather speak to someone my age etc.

Guess I am not so lonely afterall
","Nostalgia
SHARE:"
39,"CAP 4.39, orientation camps, S/U, NUSWhispers, halls/residences, NUSMods, desperate guys..., what are some of the other NUS starter packs? ಠ_ಠ
","Nostalgia
SHARE:"
40,"[ADMIN'S NOTE]

NUSWhispers is on TODAY! We had to share the limelight with NTU Confessions but bro, it's our honour.

Read the article here: https://www.todayonline.com/singapore/confessions-pages-where-students-reveal-their-innermost-thoughts-and-troubles-and

We started NUSWhispers in 2015 to ""give students a voice and encourage cross-faculty discourse"". We apparently over-succeeded and now we have cross-institution discourse, but the quality of discussions leave much to be desired. Nevertheless, we're pretty happy with our progress!

Thank you to everyone for your support, especially to our Top Fans and Top Trolls. The page wouldn't be what it is today without you (this is not a compliment).

Shout out to Prof Ben Leong for being our platform's ""celebrity ambassador""!

Here are our original interview answers if anyone is interested in reading them: https://docs.google.com/document/d/1p5Kh-0utbBEQUe7ZwU_rLEzu46o28df3lK8T0ww5lVE/edit#
","Funny, Romance, Nostalgia, Advice, Ask Prof Ben
SHARE:"
