,confessions,categories
10,"Dear Prof Ben & chem eng or chem majors,
Year 1 student here. Upon working-seniors' convincing, im deciding to change major away from pharmacy but my interest lies in pharmaceutical industry manufacturing. The existing bsc pharm curriculum doesnt seem to fit the need despite the specialization. Can seniors please advice which track in chemistry or engin should i take and if modules address the needs of industry?
","Lost and Found, Ask Prof Ben
SHARE:"
11,"Legit question. Do girls get intimidated if a guy is ""too perfect""? 

The girl I like says she feels insecurities that ""I'm out of her league"" and that ""I may leave her"" for better girls. She says she feels average and there's no reason for me to like her. 

But I do. I find her attractive in her own way, but love is a funny thing and I find it hard to put it in words. I was taken aback and stunned, I didn't know what to say.  I struggled to give her a reply. I felt like it made her even more insecure that I gave her a general reply. 

How do I make her feel comfortable and trust that I'll not leave her? I feel like she's waiting for me to say something. 

Guys, what would you have said if a girl said something like this? 

Girls, what do you expect from a guy if you were in her shoes? 

Prof Ben, you're the relationship expert here. How should I treat this woman right?
","Advice, Ask Prof Ben
SHARE:"
12,"Anyone has to live with an older sibling who is much older than you but just cannot be bothered with their own future and yet imposing on you? Cant even buy their own clothes in their life, or shoes, or even get a mobile phone line or their own insurance plan, because they say they ""dont know"". Even job interview i also must accompany them until the door, as instructed by the parent...you have to accompany them and do everything for them. One who cannot be bothered abt own health and gorge themself with junk food and fried skin to an unhealthy weight. Whenever you try to correct them, they yell at you, so that the parent will come in to scold you. Every single time, your parent will scold you for them. Sometimes even beat me. These are just the little problems. There are more major problems that are too sad to discuss. But you know. I envy people with siblings who are normal. My sibling is behaving like this for decades. Prof Ben, people always seek advice abt sch and career from you. But can i ask u abt this family matter? It has been many years and every time i get more upset and resentful why i have to be the stressed one out for my much older sibling...what can i do?
","Rant, Advice, Ask Prof Ben
SHARE:"
13,"Hi SoC peeps or anyone who can give advice about this,
I just finished my NS and am entering Uni this August. I have secured a place in NUS CS but am having second thoughts on whether it is the course for me. I started picking up coding in my own time while serving NS and am particularly interested in Machine Learning and A.I stuff and can def see myself working in that field in the future. Was wondering if I could get some advice as to which SoC course would suit me the best(Please state some reasons why if possible). Also, I have an interest in Statistics and was thinking of double majoring in Statistics, any seniors know if it is a useful major to have for coding? Thanks so much.
","Advice, Ask Prof Ben
SHARE:"
14,"I have a problem with my girlfriend and am unsure whether to break up. See, we have been together for some time and it was rather smooth sailing. However lately, she started getting paranoid about lying after seeing some of her cousins’ relationships wrecked because of lying. She even demanded that whoever caught lying in our relationship will be fined by the other person. To reassure her, I agreed.

Then for some ridiculous reasons, she started fining me a few times for “lying”. The most ridiculous fine was when I blurted out during an argument that she spent more time meeting her good guy friends than meeting me. She said I was lying because I didn’t take into account the other time she spent thinking about me but choosing to compare only the time physically meeting. 

I was incensed and demanded that she give me a breakdown on how much time she spent thinking about her good guy friends compared to that spent thinking about me. At this point she said she can give me the breakdown, but she counter-questioned me about my intentions for asking and implied that I don’t trust her even though she always has my back blah blah blah. She still refuses to give the breakdown. 

Should I get out of this relationship? I know I probably still have value on the dating market because some other girl has persistently pursued me (but she has money management issues). But after all, my gf and I have been together for some time and we are familiar with each other. I would rate our rs as a 7/10, but her increasingly paranoid and controlling manner is making me reconsider. Should I break up with her?
","Romance, Rant, Advice, Ask Prof Ben
SHARE:"
15,"Im an EE student with a minor in AI. Does EE4212 Computer Vision map to  CS4243 Computer Vision and Pattern Recognition? Meaning can I take EE4212 Computer Vision to satisfy the minor requirements? They are preclusion to each other. Who do I email to check on this? Thanks!
","Ask Prof Ben
SHARE:"
16,"Dear Prof Ben and NUSWhispers community,

TLDR; Girl I like seemed to like me back during school term. Ghosted me during vacation. I don't think she's the kind that would use me but who knows. I want to continue whatever we had. Might be awkward if I want but she doesn't. I'm lost. How should I treat her or go about this tactfully? Even just as friends? 

There's this girl that I really like and have been helping her for homework during the semester. We were very close. She was not rejecting my romantic advances, and sometimes even reciprocating. It seemed mutual. I thought we had a thing but it turns out she just completely ghosted me during the vacation. 

We were so close during the semester. I don't understand why she ghosted me. But maybe something happened or maybe she's just not in the mood? To be fair it could have been something I did that made her decide I don't want this guy. Looking back I realise I haven't really showed her feel loved in the way she wanted despite her hints. Maybe I should be understanding and give her the benefit of doubt. She seemed very genuine during the semester. Not like the kind of girl with a motive. 

But right now when I try to talk to her she'll seem cold and uninterested. We used to talk every day. Now she's not initiating convos and when I do, she'll give me one word replies. She seems like she doesn't want this anymore.

Sometimes it makes me feel like I'm just being annoying and I trying to talk to her is just pestering her. It feels stupid trying to talk to her when she doesn't want to talk. I don't know what happened or if it's something I did wrong. 

There'll prob be a lot of comments telling me to 'ditch her, u just got used' and everything but please don't. 

I still want this relationship (or friendship) and I treasure her as a person. I like her a lot. and there's the possibility that she's just going through something. I just don't want to assume that this is over cause it might not be. 

Right now, I don't know how to continue this 'relationship'. It's hard to continue when the other person is making it feel 'one-way' even tho it used not be. And it's hard to let her know how I feel or ask her directly since we are not exactly boyfriend girlfriend. I just hope that this is a misunderstanding and it'll all work out eventually. What should I do? How do I get things to be like the way it used to. How should I treat her or go about this tactfully? Even just as friends?
","Romance, Advice, Ask Prof Ben
SHARE:"
17,"Dear Prof Ben and SoC peeps,
As a CS Major who could not get CS2040S allocated in ModReg, is it okay to take up CS2040? What are the differences between the two? Is CS2040 only for students who do not major in CS? Will taking CS2040 cause any problems in the future for CS students?
","Advice, Ask Prof Ben
SHARE:"
18,"year 2 student majoring in applied math here looking for advice.

1. how important is cca when searching for a job? i have a decent fch cap but didn't join any cca until now as none of them interests me.

if they are crucial, then i guess i have to find something..

2. what sort of cca would make someone more employable? is internship sufficient?

PS i'm not considering moe teaching at the moment.

PPS contrary to popular belief, applied math majors don't necessarily go into teaching ):
","Advice, Ask Prof Ben
SHARE:"
19,"Hi y1 here! Is there any use in taking a CS/CU mod? What's the pros and/or cons??? I know that our CAP is based on the number if modules we take, so isnt it common sense to take graded mods instead of CS/CU ones?? Am confused and would really appreciate it if someone would help me out with this!!
","Advice, Ask Prof Ben
SHARE:"
20,"To OP #74590, I can totally understand how you feel. In my situation, is not exactly the same as yours. 
I, however, broke up with my partner of 3 years over several months ago. I understand that I initiated it, and I dated a few people afterwards. I've met people who used me, played me, and being overly desperate beings (too nice to me),  yet still feel like I couldn't find anyone better than my ex. But I didn't wanna patch back because I felt like we were toxic and I became the worst version of me. 

We both had quite a bad temper and low tolerance in general. Whenever one flared, we would ended up quarreling. I don't see myself growing to be a better person in terms of patience. And I really want a patient person who will not flare up over minor things, and will influence me to be more patient as well.  

However, it made me more wary of love, such that I would want to be more understanding towards my next partner, address whatever issues we have as a mature adult, and help each other grow into the best version of ourselves.
","Lost and Found, Advice, Ask Prof Ben
SHARE:"
21,"Currently y2 comp sci. Any advice on specialisation? Does it matter a lot next time later in the workforce? I hope I don't make a poor decision now and lock myself in a dying industry.
","Advice, Ask Prof Ben
SHARE:"
22,"Dear prof Ben and his whispers community,

My gf, my guy friend and I were having lunch. My gf and my friend suddenly had a debate over feminism and the role of women in the family. Not knowing what to do, I just remained silent and smiled diplomatically. At the end of the conversation, my gf hinted that I am taking the same side as my friend. She seems mad at me now, but she didn't bring up anything about that convo afterwards. She still seems mad 

I was honestly just lost and I have no idea what to say. I kept quiet to not take sides and remain a neutral party.

Guys, what would you have done if you're in my shoes?

Girls, what would you have expected your guy to do?

Prof Ben, could you please enlighten me with a bit of relationship wisdom. I feel very dumb and lost as to how I should treat a girl and make her feel right.
","Advice, Ask Prof Ben
SHARE:"
23,"Hi, have not taken any UE yet but I've cleared all my GEMs already. Just wondering, can we take additional GEMs as our UEs or does it have to be mods that are level 1000 and doesn't start with GE???
","Advice, Ask Prof Ben
SHARE:"
24,"Why is economics under FASS in NUS? In some schools they are with under business. And why is quantitative finance under FoS also? The financial courses are scattered all over the place
","Advice, Ask Prof Ben
SHARE:"
25,"How do you handle freeloading proj mates or colleagues? Been told that it is like that in the real world, but from carrying freeloading project mates who contribute substandard work or none at all, I’ve graduated to freeloading colleagues who slack off on projects or events, knowing that the more diligent or capable colleagues would not drop the ball. 
Case in point, the boss recognised this colleague for co-ordinating the event, but the truth was she asked me to help co-ordinate, and I did almost everything including clarifying and confirming the budget, the set up, photo booths, and even video montage whereas the colleague sent out a mass email. 

How do I stand out in this, instead of letting people steal the credit or freeload from me, be it in school or at work?
","Advice, Ask Prof Ben
SHARE:"
26,"hi Soc profs and CS friends, may I know between cs2030 and cs2040s and cs2030 and cs2100, which combination is better ？ I heard a lot of complaint about taking cs2040  and cs2030 from seniors, but if I don't take it next sem, will it cause lots of delay for the future study :(
","Advice, Ask Prof Ben
SHARE:"
27,"Hi Prof Ben and others who have taken CS1010S, I am looking for genuine advise (no trolls please) as to how to prepare for this mod before the semester starts. Not sure if I can cope since I’m planning on overloading next sem. Thanks!!!
","Advice, Ask Prof Ben
SHARE:"
28,"I am an international student doing my postgraduate studies at NUS. I was learnt before that I should report any scientific harassment coming from my supervisor or my lab mates. I am wondering how I could complain about an incident.
","Ask Prof Ben
SHARE:"
29,"I'm an Econs student and I'm currently considering if it's worth taking Honours Thesis. It's a requirement for FCH, but I can only attain FCH if I get A for it (my cap is around 4.4x). 

So I'd like to know if it's worth the effort doing HT, and if it's difficult to get an A (I heard from seniors that to get an A, your thesis must be Econs journal quality). I'm afraid that if I screw up, my CAP will plummet considering that HT is 15 MCs. I had intended to pursue Masters in the future, so I don't know if the lack of HT would impede my future application. Also, I wonder if employers question if you don't do HT. Thanks.
","Advice, Ask Prof Ben
SHARE:"
30,"Hello, need some help and suggestion from Computing Seniors and Prof Ben. Will really appreciate any comments.

I have been applying for summer internship 2020, and recently received an interview request for 1 out of maybe 10 companies I have applied to after a month.

I actually passed the interview and was offered an internship role with them.

Problem is, it is a small company, and the internship description was minimal. I am not sure if I will be able to learn and benefit from the internship after accepting it. And no other companies have gotten back to me except them.

My CAP is the lower range of 4, and I have only Orbital to show myself off. I am not sure if I should just accept this internship, or reject it and try and apply for other internship that might be more competitive and have more applicants, which gives me less chance to get into them given my mediocre results and experiences :( Side note, this will be my first internship.

Also, anything to look out for when applying for Computing Internships in general? 

Please help and no trolls. Thank you :)
","Advice, Ask Prof Ben
SHARE:"
31,"Im in CS and i got C+ for both cs1101s and cs1231s, should i change major?
","Advice, Ask Prof Ben
SHARE:"
32,"Dear all,
I am a Y1 Computer Engineering student, and have received my results like everyone one day back. Sadly, i got a D for one of my core module, CS1010. This is also a prerequisite for my upcoming module, CS2040C, and subsequently CS2040C will be a prerequisite for many of my other modules. Thus, I am not sure if I can SU my CS1010 such that I can still graduate on time/not mess up my schedule. FYI, here is our recommended CEG schedule given to us at the start of the semester. To CEG seniors/profs/anyone who is reading this, much help is appreciated! Thank you and Merry Christmas!

https://ceg.nus.edu.sg/wp-content/uploads/sites/3/2019/07/AY1920_CEG1-Recommended-Schedule-Direct_as-of-18-July.pdf
","Advice, Ask Prof Ben
SHARE:"
33,"Hi, I’ve got B+ and B and C+ for my mods. I’m planning to SU my C+ and have to keep my B+ and B as it’s a core mod & i need it for my Y2 onwards mods. i was thinking to move ahead and try to do well for my Y1S2. Anyone else that is able to do well in their later years? Bcos idw to re-take my Y1S1.
","Advice, Ask Prof Ben
SHARE:"
34,"Disclaimer: Rant ahead. So this is is. Results day today. My CAP officially fell below 3.5, entering the third class zone, from a course that you ""shouldn't be doing this badly"". Obviously, I feel like absolute shit now, like the most worthless guy on Earth. This has been the biggest L I have taken in my life. I actually feel like taking my life today. I know ""grades aren't everything"", ""life is worth living"" and ""there is still hope"", but when you're in the shits, you really can't give a damn about it. I just know that I am seriously in pain now and I wish for everything to go away. 

At this point maybe I will give a bit of a context that I have been suffering from depression/anxiety for many years, so that kinda adds to everything. Thanks for reading everyone. Merry Christmas...
","Rant, Advice, Ask Prof Ben
SHARE:"
35,"I am not a CS major but possess some knowledge of basic data structures. However, I am unable to complete hackerrank technical questions mostly due to time complexity issues. Is there some way to brush up on those skills as I have lost many job opportunities due to this problem. I have tried reading more about data structures and some tips to make the code efficient but I am still unable to complete the challenges.

Any help would be appreciated :)
","Advice, Ask Prof Ben
SHARE:"
36,"Can any seniors who are pursuing (or planning to pursue and are knowledgeable on) postgraduate studies or Prof Ben please advise me on this?

If I am aiming for graduate studies in a highly reputable institution, and the minimum requirement is CAP 4.5, should I be happy with anything above that or do I still bother aiming for a CAP 4.8 to 5.0? In other words, is a CAP below 4.5 just merely a disqualifying factor meaning that they stop caring about what CAP you have so long as you are above that? Would the CAP be barely considered (if at all) after meeting the minimum compared to referral letters and research experience?

After working super hard to get a CAP higher than 4.5, I kind of want to chill now but I still feel the pressure to aim higher but I do not know if it would be necessary; I do not want to waste my effort, time and social life to get closer to CAP 5.0 when 4.5 is fine.
","Advice, Ask Prof Ben
SHARE:"
37,"Hi. Just wanna check. Recently my boyfriend has taken to a habit of holding me by my upper arm while we’re walking or chilling or doing anything basically. Such that his fingers will be at my armpit. After lingering for est ~20secs, he will take a strong whiff. Sometimes he will even offer it to me. When i question the weirdness of it, he tells me with a straight face tht all guys do it. This is my first bf so i have no gauge but i am beginning to question this. Serious statement so i really appreciate what you think from a girls/guys perspective. Is this really a thing?
","Romance, Advice, Ask Prof Ben
SHARE:"
38,"Hi, so I was dating this guy recently, and I felt like the reason he tried to keep me around is to use me for sex.. 
Even though he denies it, I realised that he doesn’t make any effort to meet me properly. Whenever he asked to meet me, it’s either work related or a place to chill. I actually gave up on this date already. 
However, recently I think he invited me to a family event the next day while he was kinda drunk? Wasn’t sure if he was drunk as he was still capable of walking and eating but he sounded drunk when he called me. 
I didn’t really believed his sincerity in the invitation as that was so unlike of him.
Next day, he kinda airplane-d me. When asked him about the event, he just ignored me and told me he reached his family event late etc. 

Anyone ever gotten this kind of shit from guys before? I feel like most of the guys I met are jerks lmao.
","Lost and Found, Advice, Ask Prof Ben
SHARE:"
39,"Anyone knows of good location in NUS to see the solar eclipse on 26 Dec?
","Advice, Ask Prof Ben
SHARE:"
40,"To that guy who we've been so close during the semester but so cold during the break

Why the sudden ghosting? Is everything ok?

Why did our conversations just went cold? 

I've been trying to talk to you

But it seems like you don't want to talk to me anymore

Is it something I did that made you angry

I wish I can talk it out 

别用离开教我失去的人最重要
","Advice, Ask Prof Ben
SHARE:"
41,"Is the open area of PC Commons for group discussion? Days ago while I was studying at the open area at PC Commons, a group of students came in and started to discussion loudly. I requested them to lower their voice or move to the sound-proof meeting rooms in PC Commons to discuss. But they refused and told me that PC Commons is designed for group discussion. I felt annoyed and had to relocate elsewhere. I have been studying in PC Commons for semesters and ppl usually study there silently. There are notes in PC Commons saying 'no noise', but is group discussion a kind of noise?
","Ask Prof Ben
SHARE:"
42,"Prof Ben, what's your opinion on codility and similar tests asked for by employers? Are they really helpful in judging a candidate or just silly puzzles with no connection to the actual job?
","Ask Prof Ben
SHARE:"
43,"What is wrong with my father he is like a kid he is lazy to go out to get a proper meal so he eats instant noodles every day when we are at school/work. He doesn't listen to us when we tell him that this thing is bad for his health he thinks it's ok. 

He's getting old and I'm concerned about his health. 

How do I convince him to eat properly. He's retired so he stays at home every day and he doesn't want to go out at all

I don't want to argue with him over this. Nor do I want to restrain him by force etc. The best case would be to tactfully convince him to stop. But this is hard. 

Any suggestions? Prof Ben? Top fans?
","Advice, Ask Prof Ben
SHARE:"
44,"Hi everyone, I am a year 3 NUS student from FASS looking to minor in Computer Science. I am aware of the intense difficulty and high workload of CS modules such as CS1101S. I am extremely worried if I would be able to do well or not. If CS modules are already drowning the existing AAA/A students, I don't see much hope in me... Especially since I am bad in math. 
I genuinely seek and would greatly appreciate the advice of the public and Prof Ben Leong. Should I still minor in CS? Is CS really that math intensive?
","Advice, Ask Prof Ben
SHARE:"
45,"Dear Prof Ben,

I have a business idea and it would require technical expertise such as building a website and/or an app. I think the CS students in our school are very capable based on my interaction with some of them, and it would be great to have one on-board as our CTO. My potential business partner and I are both business students and we have trouble finding a partner with strong technical background. Do you know of platforms, organisations or places where we can reach out to these entrepreneurial CS students?

P.S. To the students: if there is currently no platform for potential entrepreneurs with different skill sets to come together, would anyone interested in one? Vote yes with a heart react <3
","Advice, Ask Prof Ben
SHARE:"
46,"Hi Prof Ben, 

I ve been wanting to ask this for a while now.

Looking back on having taken CS1101S last sem, and now looking ahead towards taking 2030/2040 next sem, I feel that I did not really learn much actual programming from the CS1101S module. While we did cover some key ideas like abstraction and recursion, I feel that we did not really learn much from the module as a lot of the time was more so spent being thrown a new tool and then left to sink or swim, trying to complete the ""mission"". 

It honestly felt more like an exercise in getting the feel for a new tool, ie the runes missions, then the graph thing, each and every week rather than actually introducing us to new ways of problem solving, through manipulating the ways we interact with the input data to solve the problems.

Why not instead introduce us to the key ideas of computational problem solving skills and at the same time, the appropriate data structures to use to solve such problems instead of separating the two into different modules?

Thanks!
From a confused CS freshman
","Rant, Ask Prof Ben
SHARE:"
47,"Does anyone have any insight into the average CAP for Computing students?? Seriously considering changing course/dropping out with a 3.3/5 in year 2- it seems most people don't go below 4. Not sure if I'm coping well at all even though I try very hard.
","Rant, Advice, Ask Prof Ben
SHARE:"
48,"I'd really appreciate some advice:

I have too much curiosity and no focus and discipline. As such, I take more time than I should to complete a task, and emerge with a lot of extra (irrelevant) knowledge too. While accumulating knowledge is good, it hinders me from achieving aims quickly and efficiently.

I meet deadlines; I just do last-minute disaster mitigation work, which has worked until now. But I do recognise the need to change. 

Taking too much time to complete work is really stressing me out, because I foresee that there will soon be too much on my plate. Help? How to achieve a balance?

Thank you, and Merry Christmas in advance. 

(Prof Ben - any thoughts, please?)
","Advice, Ask Prof Ben
SHARE:"
49,"how useful is knowledge of cs1101s actually? Functional programming is cool, but why is recursion emphasised when many programs use imperative programming? Is it to train our problem solving abilities?
","Advice, Ask Prof Ben
SHARE:"
50,"#74000: I raise you one better and propose that FASS and Biz also be revamped or closed down. After all, who needs lofty concepts like philosophy and ideology(or even worse, becoming insurance agents), and who needs people to decide on a business decision(and gaining fat bucks through rent-seeking) when all those are eventually going to be automated? Might as well have Computing as the default course, with minors in the other faculties so that Computing is very relevant and practical everywhere.
","Rant, Advice, Ask Prof Ben
SHARE:"
51,"I've been wanting to ask this for a really long time

Does having a strong singlish accent turn people off?

Like will people judge you because of your accent? Both in the workplace as well as in personal life? how do you feel  when you hear someone with a strong accent?

Prof Ben, I'd appreciate if you could reply to this as well since you deal with both students and have experience in the work place. Does this accent put me at a disadvantage in any way?
","Advice, Ask Prof Ben
SHARE:"
52,"Dear Prof Ben or any CS senior,
Is there a difference between CS2040 and CS2040S? Does one help the other for the prerequisite of higher-level modules?
Thanks!
","Advice, Ask Prof Ben
SHARE:"
53,"I wonder if guys notice when girls glance/look at their bulges  because yes we notice when you guys look at our boobs/butts/thighs. ;)
","Funny, Romance, Advice, Ask Prof Ben
SHARE:"
54,"Hello freshman here seems like prof ben comes on here often, just wanna ask if i still have hopes of passing the alternative assessment for CS1010S since i had little to no choice but to semi(?)-retake the mod.. sometimes i feel like im not cut out for this.. and cs1010s is one of my core mods.. its so demoralising bc it's not like i didnt wreck my head hard enough... there is so much someones IQ can take ...... is there still hope left?
","Rant, Ask Prof Ben
SHARE:"
