,confessions,categories
13,"What are some of the ways to maximise my income without OT? I have been working for close 8 months, and currently have the following profile. 

1) I deposit as much as I can from a part of my salary in standard chartered 's jump-start account. Have about $7k inside right now. 

2) just  started using stashaway and looking at investing at ETF, corporate bonds etc, giving a projected income of 3.75% per Annum. 
Besides this, I also have the cash management portion offered by stashaway called StashAway Simple ,which offers me 1.9% per annum interest. 

The reason why I am looking forward to diversify and earn more money is not only for personal use(travelling with my friends to overseas, getting braces for myself, driving lesson etc), but I really want to be ahead of my peers. I realise that financial literacy is something not a lot of people around the 20s will have, and if I gain a bit of extra info and can use if to share with my friends, I guess they will be happy to get out of the rat race here in Singapore. Work life had been rough, and I hope that things are getting better for me at least.
","No Category
SHARE:"
14,"Sorry, long post ahead.

I'm tired of feeling lonely. I don't really have any clique I belong to nor have I had a close friend, for as long as I could remember. 

In primary school, I was constantly bullied. Nobody really liked me, or at least I felt that way. All I could remember was having lunch alone because no one wanted to have lunch with me. Maybe I could also tell from the fact that my class photo during Primary 6 had two versions: one with everyone visibly seen, that was given to me, and another without me in it, given to everyone else in the class.

In secondary school, I've decided to not let my past affect me and tried to make new friends. Sure, I've made casual friends but none I felt connected to. I never get invited to hang out with friends after school and when I was the one doing the invite, everyone suddenly became busy.

In poly, I've had groups of friends that I hang with during classes, but I've always felt like the outside. It was obvious that my friends had their inside jokes and stories. I could still remember the day I felt heartbroken after finding out that we had 2 WhatsApp groups, one with me and another without. That was probably the first time I started to wonder if there's anything wrong with me all this while. Am I annoying? Am I boring? Am I unlikeable? 

NUS days were when things started to feel exponentially worse. I didn't join camps as I was still in NS during that time. So, when I started my first week in NUS, everyone I saw was already in a clique of their own. Maybe it was the anxiety in me or my past experience with people, but I did not dare to approach anyone in class. I'm always sitting alone in lectures and tutorial classes. In between classes, I have my meals in canteen by myself, watching students walk by. At the end of the day, I'm just on the MRT on the way home. Sure, I've interacted with others during group projects, but the interactions stop there. After my last exam paper of every semester, I would watch people talking about going out to celebrate and all I did was just going home and celebrating by myself. I remembered 'celebrating' on my own after my first semester by eating alone at a restaurant. I also remembered crying myself to sleep that night. 

Having been in my first job for about 6 months, I've never felt lonelier. Sure, I'm friends with some of my colleagues but like my previous phases in life, I've felt that the level of friendship is imbalanced. I'm always trying so hard to be close to them, but I know they don't feel as close. Maybe I'm too clingy. Maybe I'm trying too hard that it scares them away. My current routine is just going to work and going home and the cycle repeats. No telegram/WhatsApp messages. No random conversations with friends. No chats with family members at home (We're not very close). I do make the initiative to meet up with friends sometimes, but it rarely happens. 

I’ve tried out new activities/hobbies to distract myself, but the loneliness has recently felt overwhelming. I wanted to try getting to know new people through meetup groups, but I'm so afraid to do so now. 26 years of loneliness has made me feel that I'm terrible at friendships. Every new person I meet is going to be a friend for that phase of my life and just leave afterwards. I try so hard not to have that mentality with every new person I meet but that has always been end result. The weird thing is that a lot of people I've met mentioned things like ""You're so friendly"", ""Why are you so nice?"", ""You're such an easy person to talk to"" but now I'm wondering if all these are just white lies. Maybe they're just statements to cover up for something terrible about me? I'll never know because we don't talk anymore.

I guess the reason why I'm bringing this up recently is because I'm starting to notice changes to myself. I've been getting much more exhausted and unmotivated with more things in life. I tend to stutter whenever I speak now, and my command of language is becoming pretty bad. I know I need help. As I don't have close friends to talk to, I wanted to share it here just to let someone know. Anyone.

I'm tired of feeling lonely. To those I’ve met before, I'm sorry if I was a terrible person to be friends with. To everyone else, please give me a chance.
","Advice
SHARE:"
15,"I have always been an independent person and I always eat alone, since I dont feel the need for company. 

Lately when I was eating alone at canteen, one team mate saw me and he decided to join my table and we ate together. (Im a girl and Im sure he is not interested in me since he forgotten we had lunch together the next time we chatted).

That was when I realized the joy of having someone to have meal with. These days when I see people sitting alone playing phone, I really have the urge to join the table and strike a conversation but I worry that people (especially guys) may think I have other intention...

What do you guys think?
Maybe I should start a club for makan khakis and we can go as a group?
","Advice
SHARE:"
16,"Went to Jewel Coffee to buy a latte. While lining up, someone tapped on my shoulder from behind, it was a guy with a beautiful girl besides him. I didn’t recognised the guy at first until I asked him if I knew him. He mentioned his name and introduced the girl besides him as his gf, suddenly the world dark for a while. He’s a guy from the same jc as me and he was my best friend. The fact that I forgot about him bcoz something had happened during college time. We were in the same water polo team and went for quite a number of tournaments. To make it fast forward, we were about to go on our own path, I ended up in NUS while he went to oversea to study.

Few days before he fly, he stayed at my home, had a few drinks, talked a lot on sports and out of nowhere, we ended up staring at each other. It was the time where I do realised he is such a fine guy, perhaps the most good looking guy I had ever seen that time. The fact that I never had a feelings to any guys but I don’t even know why he came into me. The basorexic feelings killing me, staring at his luscious lips, moving away my sight immediately after.

Out of sudden, his hand pulling my neck and brought my face near to his, ended up kissing each other. His lips so soft that I don’t even want to cut the kiss. We ended up cuddled on my bed while he was kissing me hardly. I never knew that the raging hormone of this young guy so strong. Maybe because we were drunk at that time but the fact that I able to remember each moment until now, I don’t think I am. We never talked about that night since then and we ended up losing in contact after.

Back to present, I was immersed in those memories until he called me by my name and asked me whether I am okay. I am okay after all these years without him. He asked me why I never in contact with him all these while and I don’t even know how to answer it. ‘It is good to see you, it has been a while’. It was an awkward short conversation, he was the one who is excited and I am blunt as always. We never talked about past time as I don’t want to think about it anymore. The fact that he is having a gf now, it is time for him to be happy. 

I ended up ordered my drink and sat somewhere else. He and his gf sat quite far from my table. Suddenly, a waiter came to me and handed a plate of croissant. I never ordered it but the waiter told me that the guy in white shirt ordered for me, He is my friend from earlier on and I looked at him from far, he looked at me and gave me a good smile. The waiter handed me together with a small notes given by my friend.

“I miss you”
“Text me later: xxxx xxxx”

There goes the love triangle. Should I contact him again?
","Romance, Advice
SHARE:"
17,"Foreigner here. I need to understand how is dating culture around Singapore, as I’ve met this local girl here through a dating app and we met a few times, but I’m not sure if it is just friendly gatherings or if they are actually dates. I feel nervous whenever I want to make an advance in any locals, as my home country’s dating culture is way more casual than what I know from here (for reference: if you don’t kiss at the first date it usually means that you don’t want anything with the person and sex is seen as something casual after a few dates). In sum, I feel kinda scared to make any moves as they might be taken as harassment/aggressive by some people even though I definitely don’t mean to do something like that.
How do you know that something is actually a date and when is it ok to actually make a move/kiss someone?
","Romance, Advice
SHARE:"
18,"It has been 2 years since we broke up and for the past 2 years i have tried to forget about it and moved on with my life. I got myself busy with work and seeked self-improvement. For some time, I didn't had any issues and able to commit myself into work and focus on life goals.

But for the past few days, all of the sudden I had flashbacks of the time when we were together and I can't seem to focus with my daily tasks and spent time thinking about it ..

How can I overcome this?
","Romance, Nostalgia, Advice
SHARE:"
19,"Do anyone believes in geomancy? Whereby there will be a fortune teller who will ask you to pick a card and they can predict a person or future for you. I went to ask for relationship advice. That fortune teller ask for my ex photo and she just describes everything of him out quite accurately. And said i will suffer in the future if i stay with him. I gave it a thought he is someone who loves to play game and cant stay in a job for long maybe he is lazy person etc. From the day i have been dating with him until he mentioned breakup, he changed several jobs before already. The fortune teller said he is a cunning person. Thinking back he did requested me to buy gadgets for him. He also bought things for me too but when we quarrel he will threaten me to return the gift back to him. Which i feel is quite accurate. In this relationship he also keep mention about breakup and wanted me to give in and chase him back. This time he chased me back but im scared to accept as i dont want to get hurt again and also my parents forbid me to accept him. I felt stress but also happy when being with him previously. But i just can't let go of him and i miss those memories together, even my family also forbidden me to continue to be with him. I felt i will be an unfilial daughter if i continue to be with him as my parents said he is not a good guy. My heart hurts so much... What are your advices and thought?
","Advice
SHARE:"
20,"I'm the poster of #74605, about me inheriting a large sum of money. Thanks to all your help, I've finally learnt something about investments. I will invest half of it into the Singapore Bonds, and about one-third into CPF. As for the other half, I have decided to give them out to the commenters as a token of appreciation for your help. Just comment below in this post and i'll arrange to transfer some money to you, perhaps a couple of thousand or so, depending on how many people i'll be giving out to. 

Once again, thank you all for your help!
","Advice
SHARE:"
21,"I have a ‘bad guy’ face and have huge difficulties approaching girls. You know those stereotypical faces of crooks you see in movies and one look you’ll know he’s not a good guy? Even all of my guy friends told me that they were apprehensive to approach me before they known me yet. Those girls who I tried to initiate convo with mostly find some excuses to end the convo quickly or show some uncomfortable look. I also come from a low income background and could not afford to buy good looking clothes and groom myself. The only thing I can offer a girl is perhaps honesty and sincerity as that is always how I have treated all my friendships. The problem is that with all the girls scared off by my looks, how can I ever think of getting one to know each other better?
","Advice
SHARE:"
22,"I don’t need troll comments. Please. All I need is genuine advice. What should I do? 

I am really still a virgin girl. I sleep with teddy bears and dolls in my bed. I never got hugged to sleep. I never hugged a living,breathing human being to sleep. I never cuddled with anybody under a cosy blanket. My life is always super simple, I just go to school study, graduate, and work in an office (of course I’m not saying where I found employment as this is strictly anonymous) and I never check anyone’s text messages but my own. 

Is this why (not sure why, that’s why I’m asking, it’s open to discussion really!) I have “no feelings”? 

I feel nothing. Nothing! 

Other girls with sexual encounters already are extremely different from me. They naturally bawl their eyes out at sad romantic movies, while I can’t understand what romance is. They just feel touched enough to cry whenever something sad/moving happens between the man and woman on film. All these complex emotions.......while I’m trying my best to feel what it’s like to be even loved in the first place??? 

I watched as those with proper boyfriends check on their texts to make sure they aren’t cheating/texting their exes? But I don’t have a single shred of love in my life, so I don’t get why people can get so paranoid? Some even worry about their boyfriend not texting back in a minute (?!) and I’m like.....sometimes my sister doesn’t reply for the whole day and I’m like okay with it? 

But I don’t like myself this way. I desperately Want to change. I want to stop being someone with no feelings. I want to experience love too. 

I am on dating apps but no stranger ever asked me to even meet for a one night stand. I also go clubbing but Nobody asked me to go home with them after clubbing. 

Hypothetically speaking, if let’s say I begin to go on one night stands and actually have some form of skinship, I will also experience what love and romance are right? When it comes to songs and movies, will  I also feel so touched that I cry? 

I really never cried at a single song or movie before. What can I do about this?
","Rant
SHARE:"
23,"I just need a space to rant and speak my mind. Currently in a long term relationship, and as things progress, my gf and I have been talking about our future arrangements/agreements. When it comes to money, she controls everything that I earn. Everything I do have to go through her too. Whenever I have a differing opinion to her, she gets extremely upset. She can’t understand my point of view when it comes from me, however she’ll be more understanding when she speaks to her friends about it.  She does have valid reasons for everything, and I can understand her point of view. But I am just not comfortable with losing control of everything that I do. We are both on equal footing in our jobs, and I’m starting to lose sight on why it’s worth sacrificing everything I find important to me to be with her. I have and am willing to compromise on things that are important to me as I know a relationship takes two to make it work. But to what extent? She’s always there for me, as I am for her. I support everything she does and everything she wants. I’ll rarely say no as I want her to be happy. But it’s always a no when it comes to me on issues she disagrees. When I do disagree with her, she gets upset but does  have reasonable reasons for it. But I just want to do something that I want to sometimes. It’s not something big like buying an extra house or car etc either.  I am beginning to just agree with her to prevent any further arguments.
","Rant
SHARE:"
24,"I met this girl through a dating app and found out that her family is loaded (they live in Orchard and her parents even bought her a car). Unfortunately, she is not very motivated and doesn't have a really good job. Her sister, however has excellent education background (from the top schools in Singapore) and is a better fit for me who comes similarly from a top school in Singapore.

How do I tell her that I'm more interested in her sister instead? :/
","Romance, Advice, Ask Prof Ben
SHARE:"
25,"How should I react when my boss praised me publicly during work? I'm socially awkward to begin with so I'm afraid I didn't react in an appropriate way (paused awkwardly for a moment before saying thanks awkwardly).
","Advice
SHARE:"
26,"When I got into Biomedical Engineering, I was delighted and thought within the first semester i would definitely land myself a girlfriend.  On the first day of school, I saw so many pretty girls from my course and felt so blessed since women were rare in Engineering. Fast forward to semester 2, I am still single and lonely... All the pretty girls who surround me seem to be either taken or disinterested, leaving me in the friendzone. Is it just me? My looks? My personality? I am 22 this year and still evergreen.
","Romance
SHARE:"
27,"Should I tell my girl that she is a really bad kisser? The first time we kissed her lips are so dry, second time, it was so wet with salvia that i felt like puking, the attaction is completely lost ????.
","Advice
SHARE:"
28,"Hi I am looking to create a business, I currently cannot afford to pay any logo designers, is there anyone willing to help me out? :( I can pay a slight amount $20-$50, a basic design is what I am after. Also, if the business does well, I am willing to pay more!
","Advice
SHARE:"
29,"I too have the same dilemma with the poster of  #75148. I believe that NUS halls and residences need to be stricter regarding visitors in hostel rooms, especially that of the opposite gender. I personally have multiple cluster mates who bring in their girlfriend to their rooms regularly. The most egregious one of them is my direct neighbor and I can hear their voices and sounds very clearly from my room. As a healthy single male, I not only found this to be rather distracting, but only terribly aggravating! Here I am, trying to study hard and there they are in the room beside me, doing all sorts of nonsense that students of a supposed elite institution like ours should not be doing! I would like to report this issue but it seem very prevalent and the management is probably closing one eye about it. Something has to change!
","Rant
SHARE:"
30,"I'm a female, and I have a guy  friend whom I'm very close to. I love him, but just in a platonic way. Recently, during our regular cuddle sessions in his room, I can't help but notice he has something hard down there. I'm worried he might think of me as more than a friend. How do I make it clear I'm not romantically interested in him?
","No Category
SHARE:"
31,"What does it mean if a guy gives you a nickname? For example, If my name is Xuan Ting, he calls me Ting Ting.
","No Category
SHARE:"
32,"To the guy that broke my heart:
Honestly,  I really believed that we would one day be married. 

When you forgot my birthday, I thought it was because it was you being absentminded with dates. Who knew that you would break up with me within the month? 

When you didn't seem very excited about the present I got you on your birthday, I thought it was stress from work. Who knew that you would break up with me just a mere 2 days later? 

When you were an hour late for our meet up, I thought it was just you having fun with your friends. Who knew that you would break up with me that day? 

When you told me you were troubled and asked for my advice, I thought it was you trying to work things out with me. Who knew that you would break up with me within the hour? 

So many red flags and well, I blame myself for not noticing them earlier. 

The reason you gave for the break up was vague - you needed space, you needed time.

Fast forward 2 months later, you're ignoring me on every platform possible, not even replying my new year wishes. I guess that's the end of the relationship then. Goodbye, and good luck.

I didn't get the closure I needed and will be picking up the pieces you left behind, but with this post, I'll finally let you go. I wish you all the best.
","Romance
SHARE:"
33,"So I didn't grow up in a well to do family. I remembered I asked my mum can I get a 西游记 (Journey to the West) when I was young. She couldn't buy it for me because she rather spend the money on more useful stuff. I didn't get much toys when I was young either. I played with books that my Sister read. I only got two toys when I was young. A toy car and a mini cashier. I still had it till today. My army mates asked me about the stories of those Disney cartoons. I couldn't answer because my Mum didn't subscribe to any disney channels as I was not well to do. So I watch Channel 8 dramas and that was my childhood. They said I got no childhood, laughed at me for not knowing what they were talking about. I have childhood. My childhood was so much better than you. My dad brought my to fishing. My mum brought me for window shopping. My sister going on a breakfast with me on a Saturday. I am always rich, because I have my family constantly by my side. I do not need to substitute solitude with cartoons because my family are always there. Dont say I got no childhood. In fact, you are the one without.
","Rant, Nostalgia
SHARE:"
34,"Since i was 13 i was bullied for my looks and i was deemed as unattractive thru out my whole secondary school life, once i had a crush said to someone that he would be with me if i was at least average looking. I heard that and it was like a stab in the wound tbh, back then i really hated how i look and would stare in the mirror scratching my face trying to peel it off  or at least hope for a miracle to look decent. Fast forward to poly life i started wearing makeup and dress provocatively to make myself look at least average but suddenly i was labeled as ""hot"" or ""cute"" and it was really nice to hear those compliments tbh. i started having my first bf and 7 more exes which instanly boost my self esteem up and i was more confident in admitting that i was goodlooking however i was never arrogant about it and i would often compliement how people look too. It was nice for a while until i met my recent friends who are a group of guys they are judgemental and mean and would often judge girls if they are goodlooking or not and thats basically what i see most guys do as well. It made me really upset when they say stuff like "" ur bf has a low libido because his with u"" or "" my ex was cute unlike (my name)"" ik its just their opinon but im really sensitive to how people comment on my looks and its killing me to know im back to how unattractive i was again. How can i learn to love myself seriously and not care what other people think.
","Advice
SHARE:"
35,"My best friend’s boyfriend confessed his feelings for me. Should I tell my Best Friend?
","No Category
SHARE:"
36,"CNY lai liao...
","Funny
SHARE:"
37,"I am writing this because I have no idea how to tell it to you in person. Perhaps you might just skim thru this post and if so, so be it. 

I confessed to you last year and you rejected and the ensuing awkwardness started to kill our friendship. I assured you that everything was okay but it's quite obvious that our friendship is dying. We stopped voicecalling on discord and we rarely chatted except on a few rare occasions. I was at least glad to see that you were enjoying yourself but internally I was agonising deeply because I couldn't spend time with you. You promised to go to the arcade during the holidays and even watch a few movies but the promises were unkept. I was devastated because each day I looked forward to you inviting me out which never happened. Perhaps I wasn't as important a friend that I thought I was to you. I couldn't tell you these because it's just my anxiety and I shouldn't trouble you with these. 

Recently you asked why I was being weird towards you. I like you and I know that I can never be with you. I have no idea what to do in this situation. Every moves I make feel like a losing one. Maybe all these are just another case of me overthinking. I just don't know what to do.
","Rant
SHARE:"
38,"To my dearest ex,

This shall be the last you hear of me and the proof of my feelings.

I know our relationship is always unstable, we would always fight and argue about something for hours or maybe days. Sometimes, we would block each other and not talk to each other for days but we will always come back like nothing has happened and continue our relationship and be more loving than before. 

We got together on the 7th of july 2019, it was me who added you on Facebook several months before we got together. When I was still recovering from a painful breakup, I had a crush on your best friend because he was just there when I needed someone since the first day I broke up with that guy. Which, I mistook that as love when I was just feeling lonely. But it was only you who was truly there for me and supported me when I was at my lowest. Most days we would talk until morning and you would constantly cheer me up. You would play games with me even though you're out at your friends house. I could hear your friend through the mic asking who you're playing with and you said my name. Even though I had feelings for your best friend and there was a love triangle between us, you still did your very best to be there for me. 

I remembered that, there was a time where you dozed off on ur pmd late at night while riding and I got super upset and worried about you. That was probably the first time I realised my feelings but chose to ignore it because I wasn't sure.

Soon, the three of us met and by that time, I was positive that the person I have feelings for is you. I was nervous when I was in the MRT, it would be our first meeting. I didn't know what to do. It has been a while since I was that nervous to meet somebody. Fast foward; We got together shortly after that, one day before I went back to my country and regretted it because we didn't spend as much time together. Though it was an uneasy start and we faced through numerous obstacles together and with that I can say I'm satisfied.

The best memory I had, would be when I took a bus straight from KL to SG after my finals and stayed at your place for two weeks without my parent's knowledge. I used up all my savings for that which totalled up around 2K myr. But it's all worth it after seeing you. After all, you've worked hard and have also invested a lot of your time, money, effort in me and up until now I don't feel worthy of it. Being in a ldr with you makes me realise how much I missed you when I went back to my hometown. 

Someone once said to me when I was getting over that painful breakup, that if I love him enough I would let go of him and wish for his happiness. But I couldn't let go and couldn't understand what she meant until now. 

Thank you. I wish the best for you.
","Romance, Nostalgia
SHARE:"
39,"Just wondering how easy/hard is it to find a bf/gf in NUS? Are most of the student population attached or single? What are some ways to increase your chances of meeting ur SO in uni?
","No Category
SHARE:"
40,"Dear Prof Ben,

I've been together with this guy for about half a year. At first I thought he was perfect for me, our values and future goals aligned well, and we have similar things we liked to do as well, which made it easy to talk and hang out. But the more we are together, the more I feel that we are incompatible after all.

Though he does treat me well overall, I feel like he chose me for the sake of finding someone he could settle down with, instead of a partner he actually loves. I have asked him directly about this, which he neither confirmed nor denied, but gave a very roundabout answer which leads me to believe it is true. I know some people are okay with that and that's fine, but personally, a rs where you don't love your partner isn't quite for me. This made me super sad at first, but slowly that sadness is turning into annoyance somehow. We also tend to have a lot of misunderstanding when we talk about day to day stuff (I've never had such issue when communicating with any of my friends, or even any of the guys I used to date, but somehow we often have miscomms) , which is starting to get on my nerves sometimes.

What makes breaking up difficult is that we have met each others families (which I now regret introducing him so early) and that he doesn't treat me badly per se. Should I just hold on and try for this or is there no point?
","Advice, Ask Prof Ben
SHARE:"
41,"i am very close friends with this group of guys. im int one of them but hes very lazy just like me :( theres another one whos tall and handsome , good catch, but hes very rude to me, could it be his way of saying i like you? another one is muscular and rich , he keeps paying for my meals. does this mean hes interested in me ? theres also one currently in army, hes very good at singing, totally my type. they all seem to be very interested in me but there are almost 10 of them and im spoiled fr choices. what do i do?
","Romance, Advice
SHARE:"
42,"I feel that my boyfriend and I have really low sex drive. Our frequency is probably like once per one or two months. And each time, it’s just like a one time ejaculation. Personally, I am not someone who prioritise sex but I do feel that sex will be the intimate moment for couples and is a factor in a Long term relationship. However, my boyfriend don’t seems to have any urge to be involve in such acts with me. Especially when we had not have sex for 3months, he will still continue to use his phone when we went on staycation. So we will spent the night just me sleeping and him using his phone. And the funny thing is recently, he came to my hse so we were cuddling. And then he told me that he is unable to have sex  because he had masturbate last night twice. So imagine when we are doing, he’s only able to withstand one time but when masturbating he can actually do it two or three times. I don’t know what’s wrong here can anyone advise
","No Category
SHARE:"
43,"I had a crush on a girl from computing last semester. I tried to sit close to her in every single lecture but didnt dare to approach her because i scared that she would find me creepy. Today, i saw her again in another lecture sitting with some other girls and sat right behind her. This time, i decided to talk to her after lecture. However, right after lecture, i saw her going off with another guy and my heart broke.
我会发着呆然后忘记妳，接着紧紧闭上眼.想着哪一天会有人代替 让我不再想念妳....
","Romance, Nostalgia
SHARE:"
44,"Have been trying to look for a senior software engineer from Singapore but I keep getting applicants from all over the world except Singapore. I asked my friend where all the Singaporeans from School of Computing people go, and he said probably banking. Is that true??? And on that note, YES I AM STILL TRYING TO HIRE!! Any former NUS SoC people with 2-3 years of experience interested in making a career switch or something? Comment with your skillset and I promise to read through it and DM you!
","Rant
SHARE:"
